 Indicadores do rol de Diretrizes, Objetivos, Metas e Indicadores 2015 - Santa Catarina - Valores absolutos
Óbitos totais por Município
Município: 420240 Blumenau
Região de Saúde (CIR): SC Alto Vale do Itajaí
Período:2014
"Município";"Óbitos_totais"
"420005 Abdon Batista";0
"420010 Abelardo Luz";0
"420020 Agrolândia";0
"420030 Agronômica";0
"420040 Água Doce";0
"420050 Águas de Chapecó";0
"420055 Águas Frias";0
"420060 Águas Mornas";0
"420070 Alfredo Wagner";0
"420075 Alto Bela Vista";0
"420080 Anchieta";0
"420090 Angelina";0
"420100 Anita Garibaldi";0
"420110 Anitápolis";0
"420120 Antônio Carlos";0
"420125 Apiúna";0
"420127 Arabutã";0
"420130 Araquari";0
"420140 Araranguá";0
"420150 Armazém";0
"420160 Arroio Trinta";0
"420165 Arvoredo";0
"420170 Ascurra";0
"420180 Atalanta";0
"420190 Aurora";0
"420195 Balneário Arroio do Silva";0
"420205 Balneário Barra do Sul";0
"420200 Balneário Camboriú";0
"420207 Balneário Gaivota";0
"421280 Balneário Piçarras";0
"422000 Balneário Rincão";0
"420208 Bandeirante";0
"420209 Barra Bonita";0
"420210 Barra Velha";0
"420213 Bela Vista do Toldo";0
"420215 Belmonte";0
"420220 Benedito Novo";0
"420230 Biguaçu";0
"420240 Blumenau";0
"420243 Bocaina do Sul";0
"420250 Bom Jardim da Serra";0
"420253 Bom Jesus";0
"420257 Bom Jesus do Oeste";0
"420260 Bom Retiro";0
"420245 Bombinhas";0
"420270 Botuverá";0
"420280 Braço do Norte";0
"420285 Braço do Trombudo";0
"420287 Brunópolis";0
"420290 Brusque";0
"420300 Caçador";0
"420310 Caibi";0
"420315 Calmon";0
"420320 Camboriú";0
"420330 Campo Alegre";0
"420340 Campo Belo do Sul";0
"420350 Campo Erê";0
"420360 Campos Novos";0
"420370 Canelinha";0
"420380 Canoinhas";0
"420325 Capão Alto";0
"420390 Capinzal";0
"420395 Capivari de Baixo";0
"420400 Catanduvas";0
"420410 Caxambu do Sul";0
"420415 Celso Ramos";0
"420417 Cerro Negro";0
"420419 Chapadão do Lageado";0
"420420 Chapecó";0
"420425 Cocal do Sul";0
"420430 Concórdia";0
"420435 Cordilheira Alta";0
"420440 Coronel Freitas";0
"420445 Coronel Martins";0
"420455 Correia Pinto";0
"420450 Corupá";0
"420460 Criciúma";0
"420470 Cunha Porã";0
"420475 Cunhataí";0
"420480 Curitibanos";0
"420490 Descanso";0
"420500 Dionísio Cerqueira";0
"420510 Dona Emma";0
"420515 Doutor Pedrinho";0
"420517 Entre Rios";0
"420519 Ermo";0
"420520 Erval Velho";0
"420530 Faxinal dos Guedes";0
"420535 Flor do Sertão";0
"420540 Florianópolis";0
"420543 Formosa do Sul";0
"420545 Forquilhinha";0
"420550 Fraiburgo";0
"420555 Frei Rogério";0
"420560 Galvão";0
"420570 Garopaba";0
"420580 Garuva";0
"420590 Gaspar";0
"420600 Governador Celso Ramos";0
"420610 Grão Pará";0
"420620 Gravatal";0
"420630 Guabiruba";0
"420640 Guaraciaba";0
"420650 Guaramirim";0
"420660 Guarujá do Sul";0
"420665 Guatambú";0
"420670 Herval d'Oeste";0
"420675 Ibiam";0
"420680 Ibicaré";0
"420690 Ibirama";0
"420700 Içara";0
"420710 Ilhota";0
"420720 Imaruí";0
"420730 Imbituba";0
"420740 Imbuia";0
"420750 Indaial";0
"420757 Iomerê";0
"420760 Ipira";0
"420765 Iporã do Oeste";0
"420768 Ipuaçu";0
"420770 Ipumirim";0
"420775 Iraceminha";0
"420780 Irani";0
"420785 Irati";0
"420790 Irineópolis";0
"420800 Itá";0
"420810 Itaiópolis";0
"420820 Itajaí";0
"420830 Itapema";0
"420840 Itapiranga";0
"420845 Itapoá";0
"420850 Ituporanga";0
"420860 Jaborá";0
"420870 Jacinto Machado";0
"420880 Jaguaruna";0
"420890 Jaraguá do Sul";0
"420895 Jardinópolis";0
"420900 Joaçaba";0
"420910 Joinville";0
"420915 José Boiteux";0
"420917 Jupiá";0
"420920 Lacerdópolis";0
"420930 Lages";0
"420940 Laguna";0
"420945 Lajeado Grande";0
"420950 Laurentino";0
"420960 Lauro Muller";0
"420970 Lebon Régis";0
"420980 Leoberto Leal";0
"420985 Lindóia do Sul";0
"420990 Lontras";0
"421000 Luiz Alves";0
"421003 Luzerna";0
"421005 Macieira";0
"421010 Mafra";0
"421020 Major Gercino";0
"421030 Major Vieira";0
"421040 Maracajá";0
"421050 Maravilha";0
"421055 Marema";0
"421060 Massaranduba";0
"421070 Matos Costa";0
"421080 Meleiro";0
"421085 Mirim Doce";0
"421090 Modelo";0
"421100 Mondaí";0
"421105 Monte Carlo";0
"421110 Monte Castelo";0
"421120 Morro da Fumaça";0
"421125 Morro Grande";0
"421130 Navegantes";0
"421140 Nova Erechim";0
"421145 Nova Itaberaba";0
"421150 Nova Trento";0
"421160 Nova Veneza";0
"421165 Novo Horizonte";0
"421170 Orleans";0
"421175 Otacílio Costa";0
"421180 Ouro";0
"421185 Ouro Verde";0
"421187 Paial";0
"421189 Painel";0
"421190 Palhoça";0
"421200 Palma Sola";0
"421205 Palmeira";0
"421210 Palmitos";0
"421220 Papanduva";0
"421223 Paraíso";0
"421225 Passo de Torres";0
"421227 Passos Maia";0
"421230 Paulo Lopes";0
"421240 Pedras Grandes";0
"421250 Penha";0
"421260 Peritiba";0
"421265 Pescaria Brava";0
"421270 Petrolândia";0
"421290 Pinhalzinho";0
"421300 Pinheiro Preto";0
"421310 Piratuba";0
"421315 Planalto Alegre";0
"421320 Pomerode";0
"421330 Ponte Alta";0
"421335 Ponte Alta do Norte";0
"421340 Ponte Serrada";0
"421350 Porto Belo";0
"421360 Porto União";0
"421370 Pouso Redondo";0
"421380 Praia Grande";0
"421390 Presidente Castello Branco";0
"421400 Presidente Getúlio";0
"421410 Presidente Nereu";0
"421415 Princesa";0
"421420 Quilombo";0
"421430 Rancho Queimado";0
"421440 Rio das Antas";0
"421450 Rio do Campo";0
"421460 Rio do Oeste";0
"421480 Rio do Sul";0
"421470 Rio dos Cedros";0
"421490 Rio Fortuna";0
"421500 Rio Negrinho";0
"421505 Rio Rufino";0
"421507 Riqueza";0
"421510 Rodeio";0
"421520 Romelândia";0
"421530 Salete";0
"421535 Saltinho";0
"421540 Salto Veloso";0
"421545 Sangão";0
"421550 Santa Cecília";0
"421555 Santa Helena";0
"421560 Santa Rosa de Lima";0
"421565 Santa Rosa do Sul";0
"421567 Santa Terezinha";0
"421568 Santa Terezinha do Progresso";0
"421569 Santiago do Sul";0
"421570 Santo Amaro da Imperatriz";0
"421580 São Bento do Sul";0
"421575 São Bernardino";0
"421590 São Bonifácio";0
"421600 São Carlos";0
"421605 São Cristovão do Sul";0
"421610 São Domingos";0
"421620 São Francisco do Sul";0
"421630 São João Batista";0
"421635 São João do Itaperiú";0
"421625 São João do Oeste";0
"421640 São João do Sul";0
"421650 São Joaquim";0
"421660 São José";0
"421670 São José do Cedro";0
"421680 São José do Cerrito";0
"421690 São Lourenço do Oeste";0
"421700 São Ludgero";0
"421710 São Martinho";0
"421715 São Miguel da Boa Vista";0
"421720 São Miguel do Oeste";0
"421725 São Pedro de Alcântara";0
"421730 Saudades";0
"421740 Schroeder";0
"421750 Seara";0
"421755 Serra Alta";0
"421760 Siderópolis";0
"421770 Sombrio";0
"421775 Sul Brasil";0
"421780 Taió";0
"421790 Tangará";0
"421795 Tigrinhos";0
"421800 Tijucas";0
"421810 Timbé do Sul";0
"421820 Timbó";0
"421825 Timbó Grande";0
"421830 Três Barras";0
"421835 Treviso";0
"421840 Treze de Maio";0
"421850 Treze Tílias";0
"421860 Trombudo Central";0
"421870 Tubarão";0
"421875 Tunápolis";0
"421880 Turvo";0
"421885 União do Oeste";0
"421890 Urubici";0
"421895 Urupema";0
"421900 Urussanga";0
"421910 Vargeão";0
"421915 Vargem";0
"421917 Vargem Bonita";0
"421920 Vidal Ramos";0
"421930 Videira";0
"421935 Vitor Meireles";0
"421940 Witmarsum";0
"421950 Xanxerê";0
"421960 Xavantina";0
"421970 Xaxim";0
"421985 Zortéa";0
"420000 Município ignorado - SC";0
"Total";0
 Fonte: Ministério da Saúde.
 Notas:
 
